Condition,Time,ID,amp
"Control_Crr_plus",240,"018",-1.59652805328369
"Control_Crr_plus",244,"018",-1.79744815826416
"Control_Crr_plus",248,"018",-1.94647061824799
"Control_Crr_plus",252,"018",-2.05309271812439
"Control_Crr_plus",256,"018",-2.12618660926819
"Control_Crr_plus",260,"018",-2.17309474945068
"Control_Crr_plus",264,"018",-2.19882702827454
"Control_Crr_plus",268,"018",-2.20590925216675
"Control_Crr_plus",272,"018",-2.19443893432617
"Control_Crr_plus",276,"018",-2.16229057312012
"Control_Crr_plus",280,"018",-2.10577154159546
"Control_Crr_plus",284,"018",-2.02040266990662
"Control_Crr_plus",288,"018",-1.90180158615112
"Control_Crr_plus",292,"018",-1.74642252922058
"Control_Crr_plus",296,"018",-1.55257999897003
"Control_Crr_plus",300,"018",-1.321120262146
"Control_Crr_plus",304,"018",-1.05526232719421
"Control_Crr_plus",308,"018",-0.761372327804565
"Control_Crr_plus",312,"018",-0.448404997587204
"Control_Crr_plus",316,"018",-0.127198070287704
"Control_Crr_plus",320,"018",0.189736738801003
"Control_Crr_plus",324,"018",0.489285588264465
"Control_Crr_plus",328,"018",0.758679687976837
"Control_Crr_plus",332,"018",0.98621392250061
"Control_Crr_plus",336,"018",1.16239380836487
"Control_Crr_plus",340,"018",1.28033638000488
"Control_Crr_plus",344,"018",1.33607363700867
"Control_Crr_plus",348,"018",1.32934784889221
"Control_Crr_plus",352,"018",1.26325023174286
"Control_Crr_plus",356,"018",1.14377069473267
"Control_Crr_plus",360,"018",0.979629635810852
"Control_Crr_plus",364,"018",0.781543135643005
"Control_Crr_plus",368,"018",0.561151027679443
"Control_Crr_plus",372,"018",0.330329954624176
"Control_Crr_plus",376,"018",0.100665554404259
"Control_Crr_plus",380,"018",-0.117715232074261
"Control_Crr_plus",384,"018",-0.31656089425087
"Control_Crr_plus",388,"018",-0.48969629406929
"Control_Crr_plus",392,"018",-0.633538365364075
"Control_Crr_plus",396,"018",-0.746847987174988
"Control_Crr_plus",400,"018",-0.830598950386047
"Control_Crr_plus",404,"018",-0.887687563896179
"Control_Crr_plus",408,"018",-0.922075092792511
"Control_Crr_plus",412,"018",-0.938504099845886
"Control_Crr_plus",416,"018",-0.941825449466705
"Control_Crr_plus",420,"018",-0.936282396316528
"Control_Crr_plus",424,"018",-0.925052523612976
"Control_Crr_plus",428,"018",-0.910168707370758
"Control_Crr_plus",432,"018",-0.89221066236496
"Control_Crr_plus",436,"018",-0.870248734951019
"Control_Crr_plus",440,"018",-0.842080414295197
"Control_Crr_plus",444,"018",-0.804325580596924
"Control_Crr_plus",448,"018",-0.753165721893311
"Control_Crr_plus",452,"018",-0.684669375419617
"Control_Crr_plus",456,"018",-0.595137357711792
"Control_Crr_plus",460,"018",-0.481887698173523
"Control_Crr_plus",464,"018",-0.343695014715195
"Control_Crr_plus",468,"018",-0.180993497371674
"Control_Crr_plus",472,"018",0.00365350022912025
"Control_Crr_plus",476,"018",0.205781623721123
"Control_Crr_plus",480,"018",0.419045478105545
"Control_Crr_plus",484,"018",0.635481774806976
"Control_Crr_plus",488,"018",0.84599781036377
"Control_Crr_plus",492,"018",1.04073333740234
"Control_Crr_plus",496,"018",1.20968616008759
"Control_Crr_plus",500,"018",1.34344077110291
"Control_Crr_plus",504,"018",1.4339143037796
"Control_Crr_plus",508,"018",1.47468590736389
"Control_Crr_plus",512,"018",1.46158719062805
"Control_Crr_plus",516,"018",1.39319312572479
"Control_Crr_plus",520,"018",1.27071964740753
"Control_Crr_plus",524,"018",1.09823524951935
"Control_Crr_plus",528,"018",0.882476568222046
"Control_Crr_plus",532,"018",0.632553815841675
"Control_Crr_plus",536,"018",0.359433740377426
"Control_Crr_plus",540,"018",0.0753166228532791
"Control_Crr_plus",544,"018",-0.207141622900963
"Control_Crr_plus",548,"018",-0.47546574473381
"Control_Crr_plus",552,"018",-0.717894315719604
"Control_Crr_plus",556,"018",-0.924303948879242
"Control_Crr_plus",560,"018",-1.08678388595581
"Control_Crr_plus",564,"018",-1.19994580745697
"Control_Crr_plus",568,"018",-1.26120400428772
"Control_Crr_plus",572,"018",-1.27107858657837
"Control_Crr_plus",576,"018",-1.23306429386139
"Control_Crr_plus",580,"018",-1.15306150913239
"Control_Crr_plus",584,"018",-1.03937911987305
"Control_Crr_plus",588,"018",-0.901848256587982
"Control_Crr_plus",592,"018",-0.751067399978638
"Control_Crr_plus",596,"018",-0.598272144794464
"Control_Crr_plus",600,"018",-0.454148501157761
"Control_Crr_plus",604,"018",-0.328128784894943
"Control_Crr_plus",608,"018",-0.228120267391205
"Control_Crr_plus",612,"018",-0.159385159611702
"Control_Crr_plus",616,"018",-0.124637492001057
"Control_Crr_plus",620,"018",-0.124245129525661
"Control_Crr_plus",624,"018",-0.155696883797646
"Control_Crr_plus",628,"018",-0.214110746979713
"Control_Crr_plus",632,"018",-0.292676150798798
"Control_Crr_plus",636,"018",-0.382975727319717
"Control_Crr_plus",640,"018",-0.475987493991852
"Control_Crr_plus",644,"018",-0.562430560588837
"Control_Crr_plus",648,"018",-0.633531451225281
"Control_Crr_plus",652,"018",-0.682089447975159
"Control_Crr_plus",656,"018",-0.702465534210205
"Control_Crr_plus",660,"018",-0.69132536649704
"Control_Crr_plus",664,"018",-0.6477210521698
"Control_Crr_plus",668,"018",-0.573231101036072
"Control_Crr_plus",672,"018",-0.472017168998718
"Control_Crr_plus",676,"018",-0.350062161684036
"Control_Crr_plus",680,"018",-0.214940190315247
"Control_Crr_plus",684,"018",-0.075268067419529
"Control_Crr_plus",688,"018",0.060039795935154
"Control_Crr_plus",692,"018",0.182419925928116
"Control_Crr_plus",696,"018",0.284412801265717
"Control_Crr_plus",700,"018",0.360056817531586
"Control_Crr_plus",704,"018",0.405604660511017
"Control_Crr_plus",708,"018",0.419570922851563
"Control_Crr_plus",712,"018",0.402776300907135
"Control_Crr_plus",716,"018",0.358581990003586
"Control_Crr_plus",720,"018",0.292157620191574
"Control_Crr_plus",724,"018",0.210299700498581
"Control_Crr_plus",728,"018",0.120745949447155
"Control_Crr_plus",732,"018",0.0316976383328438
"Control_Crr_plus",736,"018",-0.0489361584186554
"Control_Crr_plus",740,"018",-0.114255852997303
"Control_Crr_plus",744,"018",-0.158875420689583
"Control_Crr_plus",748,"018",-0.179430216550827
"Control_Crr_plus",752,"018",-0.174561247229576
"Control_Crr_plus",756,"018",-0.145231768488884
"Control_Crr_plus",760,"018",-0.0945668369531631
"Control_Crr_plus",764,"018",-0.0273430347442627
"Control_Crr_plus",768,"018",0.0501754507422447
"Control_Crr_plus",772,"018",0.130832597613335
"Control_Crr_plus",776,"018",0.207370430231094
"Control_Crr_plus",780,"018",0.272856831550598
"Control_Crr_plus",784,"018",0.32142573595047
"Control_Crr_plus",788,"018",0.348634004592896
"Control_Crr_plus",792,"018",0.351616442203522
"Control_Crr_plus",796,"018",0.329730331897736
"Control_Crr_plus",-200,"019",-0.136666536331177
"Control_Crr_plus",-196,"019",-0.0920941904187202
"Control_Crr_plus",-192,"019",-0.0459961965680122
"Control_Crr_plus",-188,"019",-0.000723028555512428
"Control_Crr_plus",-184,"019",0.041285939514637
"Control_Crr_plus",-180,"019",0.0776768028736115
"Control_Crr_plus",-176,"019",0.106291703879833
"Control_Crr_plus",-172,"019",0.125388219952583
"Control_Crr_plus",-168,"019",0.133679941296577
"Control_Crr_plus",-164,"019",0.13052436709404
"Control_Crr_plus",-160,"019",0.116021350026131
"Control_Crr_plus",-156,"019",0.0909132063388824
"Control_Crr_plus",-152,"019",0.0565789788961411
"Control_Crr_plus",-148,"019",0.0148452091962099
"Control_Crr_plus",-144,"019",-0.0320422314107418
"Control_Crr_plus",-140,"019",-0.0815865471959114
"Control_Crr_plus",-136,"019",-0.131224647164345
"Control_Crr_plus",-132,"019",-0.178464755415916
"Control_Crr_plus",-128,"019",-0.221212953329086
"Control_Crr_plus",-124,"019",-0.257815688848495
"Control_Crr_plus",-120,"019",-0.287204176187515
"Control_Crr_plus",-116,"019",-0.30888506770134
"Control_Crr_plus",-112,"019",-0.322913736104965
"Control_Crr_plus",-108,"019",-0.32995069026947
"Control_Crr_plus",-104,"019",-0.330985099077225
"Control_Crr_plus",-100,"019",-0.327175885438919
"Control_Crr_plus",-96,"019",-0.319744527339935
"Control_Crr_plus",-92,"019",-0.309807002544403
"Control_Crr_plus",-88,"019",-0.298022776842117
"Control_Crr_plus",-84,"019",-0.284557402133942
"Control_Crr_plus",-80,"019",-0.269216984510422
"Control_Crr_plus",-76,"019",-0.251234143972397
"Control_Crr_plus",-72,"019",-0.229335010051727
"Control_Crr_plus",-68,"019",-0.202016174793243
"Control_Crr_plus",-64,"019",-0.167679578065872
"Control_Crr_plus",-60,"019",-0.125020921230316
"Control_Crr_plus",-56,"019",-0.0731483176350594
"Control_Crr_plus",-52,"019",-0.0117386123165488
"Control_Crr_plus",-48,"019",0.0586234405636787
"Control_Crr_plus",-44,"019",0.136292845010757
"Control_Crr_plus",-40,"019",0.218583911657333
"Control_Crr_plus",-36,"019",0.301799327135086
"Control_Crr_plus",-32,"019",0.381455391645432
"Control_Crr_plus",-28,"019",0.452576130628586
"Control_Crr_plus",-24,"019",0.510193765163422
"Control_Crr_plus",-20,"019",0.54969847202301
"Control_Crr_plus",-16,"019",0.567167162895203
"Control_Crr_plus",-12,"019",0.559970736503601
"Control_Crr_plus",-8,"019",0.527191638946533
"Control_Crr_plus",-4,"019",0.469704449176788
"Control_Crr_plus",0,"019",0.390295147895813
"Control_Crr_plus",4,"019",0.293750405311584
"Control_Crr_plus",8,"019",0.186547607183456
"Control_Crr_plus",12,"019",0.0764592513442039
"Control_Crr_plus",16,"019",-0.0279661174863577
"Control_Crr_plus",20,"019",-0.118134960532188
"Control_Crr_plus",24,"019",-0.1860591173172
"Control_Crr_plus",28,"019",-0.225033774971962
"Control_Crr_plus",32,"019",-0.230270683765411
"Control_Crr_plus",36,"019",-0.199494421482086
"Control_Crr_plus",40,"019",-0.133165419101715
"Control_Crr_plus",44,"019",-0.0348161421716213
"Control_Crr_plus",48,"019",0.0891451686620712
"Control_Crr_plus",52,"019",0.229854375123978
"Control_Crr_plus",56,"019",0.376435279846191
"Control_Crr_plus",60,"019",0.516831994056702
"Control_Crr_plus",64,"019",0.638550221920013
"Control_Crr_plus",68,"019",0.729694008827209
"Control_Crr_plus",72,"019",0.779991030693054
"Control_Crr_plus",76,"019",0.781506597995758
"Control_Crr_plus",80,"019",0.729305744171143
"Control_Crr_plus",84,"019",0.621946394443512
"Control_Crr_plus",88,"019",0.461746484041214
"Control_Crr_plus",92,"019",0.254681557416916
"Control_Crr_plus",96,"019",0.0100256837904453
"Control_Crr_plus",100,"019",-0.260116457939148
"Control_Crr_plus",104,"019",-0.541652977466583
"Control_Crr_plus",108,"019",-0.819474458694458
"Control_Crr_plus",112,"019",-1.07858371734619
"Control_Crr_plus",116,"019",-1.30508756637573
"Control_Crr_plus",120,"019",-1.48700416088104
"Control_Crr_plus",124,"019",-1.61514806747437
"Control_Crr_plus",128,"019",-1.68371188640594
"Control_Crr_plus",132,"019",-1.69055461883545
"Control_Crr_plus",136,"019",-1.63725125789642
"Control_Crr_plus",140,"019",-1.52869153022766
"Control_Crr_plus",144,"019",-1.37273645401001
"Control_Crr_plus",148,"019",-1.17958605289459
"Control_Crr_plus",152,"019",-0.960827529430389
"Control_Crr_plus",156,"019",-0.728574991226196
"Control_Crr_plus",160,"019",-0.494592666625977
"Control_Crr_plus",164,"019",-0.269508957862854
"Control_Crr_plus",168,"019",-0.062230758368969
"Control_Crr_plus",172,"019",0.120619006454945
"Control_Crr_plus",176,"019",0.275056064128876
"Control_Crr_plus",180,"019",0.399619549512863
"Control_Crr_plus",184,"019",0.495048344135284
"Control_Crr_plus",188,"019",0.563922703266144
"Control_Crr_plus",192,"019",0.610306918621063
"Control_Crr_plus",196,"019",0.639102578163147
"Control_Crr_plus",200,"019",0.655133008956909
"Control_Crr_plus",204,"019",0.662773370742798
"Control_Crr_plus",208,"019",0.665566802024841
"Control_Crr_plus",212,"019",0.665794253349304
"Control_Crr_plus",216,"019",0.664352536201477
"Control_Crr_plus",220,"019",0.660736978054047
"Control_Crr_plus",224,"019",0.65322870016098
"Control_Crr_plus",228,"019",0.639351785182953
"Control_Crr_plus",232,"019",0.616287708282471
"Control_Crr_plus",236,"019",0.581265687942505
"Control_Crr_plus",240,"019",0.532132208347321
"Control_Crr_plus",244,"019",0.467746496200562
"Control_Crr_plus",248,"019",0.388412207365036
"Control_Crr_plus",252,"019",0.295955389738083
"Control_Crr_plus",256,"019",0.193701952695847
"Control_Crr_plus",260,"019",0.0863709598779678
"Control_Crr_plus",264,"019",-0.0202252306044102
"Control_Crr_plus",268,"019",-0.119619429111481
"Control_Crr_plus",272,"019",-0.205338150262833
"Control_Crr_plus",276,"019",-0.271416217088699
"Control_Crr_plus",280,"019",-0.312941044569016
"Control_Crr_plus",284,"019",-0.32672131061554
"Control_Crr_plus",288,"019",-0.311434298753738
"Control_Crr_plus",292,"019",-0.267708539962769
"Control_Crr_plus",296,"019",-0.198429927229881
"Control_Crr_plus",300,"019",-0.108401626348495
"Control_Crr_plus",304,"019",-0.00391124561429024
"Control_Crr_plus",308,"019",0.107652142643929
"Control_Crr_plus",312,"019",0.21828880906105
"Control_Crr_plus",316,"019",0.320103734731674
"Control_Crr_plus",320,"019",0.405937969684601
"Control_Crr_plus",324,"019",0.470016956329346
"Control_Crr_plus",328,"019",0.508288145065308
"Control_Crr_plus",332,"019",0.518683195114136
"Control_Crr_plus",336,"019",0.501357853412628
"Control_Crr_plus",340,"019",0.458502382040024
"Control_Crr_plus",344,"019",0.394087612628937
"Control_Crr_plus",348,"019",0.313526302576065
