Condition,Time,ID,amp
"Control_Crr_plus",-200,1,-0.190306842327118
"Control_Crr_plus",-196,1,-0.112869121134281
"Control_Crr_plus",-192,1,-0.0381525792181492
"Control_Crr_plus",-188,1,0.0356617793440819
"Control_Crr_plus",-184,1,0.110153988003731
"Control_Crr_plus",-180,1,0.186042547225952
"Control_Crr_plus",-176,1,0.264564722776413
"Control_Crr_plus",-172,1,0.34571573138237
"Control_Crr_plus",-168,1,0.428447067737579
"Control_Crr_plus",-164,1,0.511217176914215
"Control_Crr_plus",-160,1,0.590963006019592
"Control_Crr_plus",-156,1,0.664237916469574
"Control_Crr_plus",-152,1,0.727119147777557
"Control_Crr_plus",-148,1,0.775285184383392
"Control_Crr_plus",-144,1,0.805058538913727
"Control_Crr_plus",-140,1,0.813226461410522
"Control_Crr_plus",-136,1,0.797303557395935
"Control_Crr_plus",-132,1,0.75610077381134
"Control_Crr_plus",-128,1,0.689972460269928
"Control_Crr_plus",-124,1,0.600678980350494
"Control_Crr_plus",-120,1,0.491351991891861
"Control_Crr_plus",-116,1,0.366474509239197
"Control_Crr_plus",-112,1,0.231352359056473
"Control_Crr_plus",-108,1,0.0923338234424591
"Control_Crr_plus",-104,1,-0.0440995618700981
"Control_Crr_plus",-100,1,-0.171746015548706
"Control_Crr_plus",-96,1,-0.284708023071289
"Control_Crr_plus",-92,1,-0.378354251384735
"Control_Crr_plus",-88,1,-0.449246883392334
"Control_Crr_plus",-84,1,-0.495254993438721
"Control_Crr_plus",-80,1,-0.516289353370667
"Control_Crr_plus",-76,1,-0.513805508613586
"Control_Crr_plus",-72,1,-0.490545004606247
"Control_Crr_plus",-68,1,-0.450992226600647
"Control_Crr_plus",-64,1,-0.400250494480133
"Control_Crr_plus",-60,1,-0.344165086746216
"Control_Crr_plus",-56,1,-0.289121031761169
"Control_Crr_plus",-52,1,-0.241150602698326
"Control_Crr_plus",-48,1,-0.205501139163971
"Control_Crr_plus",-44,1,-0.186388701200485
"Control_Crr_plus",-40,1,-0.186991393566132
"Control_Crr_plus",-36,1,-0.208436995744705
"Control_Crr_plus",-32,1,-0.250239640474319
"Control_Crr_plus",-28,1,-0.310361593961716
"Control_Crr_plus",-24,1,-0.384939014911652
"Control_Crr_plus",-20,1,-0.468982428312302
"Control_Crr_plus",-16,1,-0.555973172187805
"Control_Crr_plus",-12,1,-0.638999879360199
"Control_Crr_plus",-8,1,-0.710952877998352
"Control_Crr_plus",-4,1,-0.764437615871429
"Control_Crr_plus",0,1,-0.793130993843079
"Control_Crr_plus",4,1,-0.791884183883667
"Control_Crr_plus",8,1,-0.757075548171997
"Control_Crr_plus",12,1,-0.686662495136261
"Control_Crr_plus",16,1,-0.580721020698547
"Control_Crr_plus",20,1,-0.441653043031693
"Control_Crr_plus",24,1,-0.273896753787994
"Control_Crr_plus",28,1,-0.083717368543148
"Control_Crr_plus",32,1,0.12100800126791
"Control_Crr_plus",36,1,0.33099639415741
"Control_Crr_plus",40,1,0.536208033561707
"Control_Crr_plus",44,1,0.72627204656601
"Control_Crr_plus",48,1,0.891155540943146
"Control_Crr_plus",52,1,1.02176654338837
"Control_Crr_plus",56,1,1.1100298166275
"Control_Crr_plus",60,1,1.15052795410156
"Control_Crr_plus",64,1,1.13994574546814
"Control_Crr_plus",68,1,1.07714092731476
"Control_Crr_plus",72,1,0.964038670063019
"Control_Crr_plus",76,1,0.805148720741272
"Control_Crr_plus",80,1,0.607555866241455
"Control_Crr_plus",84,1,0.380431890487671
"Control_Crr_plus",88,1,0.134601071476936
"Control_Crr_plus",92,1,-0.117952682077885
"Control_Crr_plus",96,1,-0.364863306283951
"Control_Crr_plus",100,1,-0.593818366527557
"Control_Crr_plus",104,1,-0.793436348438263
"Control_Crr_plus",108,1,-0.954267621040344
"Control_Crr_plus",112,1,-1.06892669200897
"Control_Crr_plus",116,1,-1.13241684436798
"Control_Crr_plus",120,1,-1.14294481277466
"Control_Crr_plus",124,1,-1.1019686460495
"Control_Crr_plus",128,1,-1.01368570327759
"Control_Crr_plus",132,1,-0.884928464889526
"Control_Crr_plus",136,1,-0.725011944770813
"Control_Crr_plus",140,1,-0.544817507266998
"Control_Crr_plus",144,1,-0.356223195791245
"Control_Crr_plus",148,1,-0.171198055148125
"Control_Crr_plus",152,1,-0.000907002424355596
"Control_Crr_plus",156,1,0.144261658191681
"Control_Crr_plus",160,1,0.256125330924988
"Control_Crr_plus",164,1,0.329194009304047
"Control_Crr_plus",168,1,0.360640794038773
"Control_Crr_plus",172,1,0.35067942738533
"Control_Crr_plus",176,1,0.302475661039352
"Control_Crr_plus",180,1,0.22191159427166
"Control_Crr_plus",184,1,0.117261238396168
"Control_Crr_plus",188,1,-0.00125922227744013
"Control_Crr_plus",192,1,-0.122704386711121
"Control_Crr_plus",196,1,-0.235668480396271
"Control_Crr_plus",200,1,-0.329164355993271
"Control_Crr_plus",204,1,-0.393998771905899
"Control_Crr_plus",208,1,-0.422652184963226
"Control_Crr_plus",212,1,-0.410150706768036
"Control_Crr_plus",216,1,-0.354642957448959
"Control_Crr_plus",220,1,-0.256893336772919
"Control_Crr_plus",224,1,-0.120777167379856
"Control_Crr_plus",228,1,0.0468443781137466
"Control_Crr_plus",232,1,0.237157687544823
"Control_Crr_plus",236,1,0.439469367265701
"Control_Crr_plus",240,1,0.641718447208405
"Control_Crr_plus",244,1,0.832231104373932
"Control_Crr_plus",248,1,0.999593496322632
"Control_Crr_plus",252,1,1.13344991207123
"Control_Crr_plus",256,1,1.22563910484314
"Control_Crr_plus",260,1,1.27042138576508
"Control_Crr_plus",264,1,1.26503038406372
"Control_Crr_plus",268,1,1.20947122573853
"Control_Crr_plus",272,1,1.10673689842224
"Control_Crr_plus",276,1,0.962469339370728
"Control_Crr_plus",280,1,0.78434681892395
"Control_Crr_plus",284,1,0.581973314285278
"Control_Crr_plus",288,1,0.365701884031296
"Control_Crr_plus",292,1,0.145988583564758
"Control_Crr_plus",296,1,-0.0669887214899063
"Control_Crr_plus",300,1,-0.264275401830673
"Control_Crr_plus",304,1,-0.438592970371246
"Control_Crr_plus",308,1,-0.58465987443924
"Control_Crr_plus",312,1,-0.699375987052917
"Control_Crr_plus",316,1,-0.782156944274902
"Control_Crr_plus",320,1,-0.834709286689758
"Control_Crr_plus",324,1,-0.860565721988678
"Control_Crr_plus",328,1,-0.865163505077362
"Control_Crr_plus",332,1,-0.854578793048859
"Control_Crr_plus",336,1,-0.835468828678131
"Control_Crr_plus",340,1,-0.814500570297241
"Control_Crr_plus",344,1,-0.797042548656464
"Control_Crr_plus",348,1,-0.78760176897049
"Control_Crr_plus",352,1,-0.789401531219482
