Condition,TimePnt,Channel,Theta,Radius,Amp
"Crr_Control_4to8Hz","160  410","E1",46.3515894409914,0.599228196701221,0.959438058975784
"Crr_Control_4to8Hz","160  410","E2",38.2646318578571,0.488552533066186,0.727711907315953
"Crr_Control_4to8Hz","160  410","E3",26.8465607545896,0.390419967902332,0.867426938593159
"Crr_Control_4to8Hz","160  410","E4",21.874325153333,0.316984735973187,0.995738148661564
"Crr_Control_4to8Hz","160  410","E5",14.5819442660621,0.226537403184609,1.13660456777869
"Crr_Control_4to8Hz","160  410","E6",0,0.143070495433133,1.10843637453085
"Crr_Control_4to8Hz","160  410","E7",-38.1339983808221,0.0734107867662809,1.09569091101219
"Crr_Control_4to8Hz","160  410","E8",27.8257963683378,0.547327521600941,0.995680814397255
"Crr_Control_4to8Hz","160  410","E9",16.8763273916297,0.462858630223561,0.941171927548661
"Crr_Control_4to8Hz","160  410","E10",11.8725454091428,0.390533007129712,0.950450405742375
"Crr_Control_4to8Hz","160  410","E11",0,0.320243247846092,1.07560321444047
"Crr_Control_4to8Hz","160  410","E12",-14.5819442660621,0.226537403184609,1.20964168788291
"Crr_Control_4to8Hz","160  410","E13",-36.8151001737827,0.156184910447561,1.17456161673483
"Crr_Control_4to8Hz","160  410","E14",7.63371078286657,0.531422510063342,1.15333570879922
"Crr_Control_4to8Hz","160  410","E15",0,0.453627204234713,1.04148905738706
"Crr_Control_4to8Hz","160  410","E16",0,0.395067145500769,1.03808273287128
"Crr_Control_4to8Hz","160  410","E17",0,0.574536039210148,1.20170993322084
"Crr_Control_4to8Hz","160  410","E18",-11.8725454091428,0.390533007129712,0.989595909832088
"Crr_Control_4to8Hz","160  410","E19",-21.874325153333,0.316984735973187,1.07204186746282
"Crr_Control_4to8Hz","160  410","E20",-36.7591949568984,0.261605763086976,1.12854805664585
"Crr_Control_4to8Hz","160  410","E21",-7.63371078286657,0.531422510063342,1.07015765248375
"Crr_Control_4to8Hz","160  410","E22",-16.8763273916297,0.462858630223561,0.972783980671423
"Crr_Control_4to8Hz","160  410","E23",-26.8465607545896,0.390419967902332,1.03639517462139
"Crr_Control_4to8Hz","160  410","E24",-36.5243617118728,0.332080475646616,1.05893980467488
"Crr_Control_4to8Hz","160  410","E25",-27.8257963683378,0.547327521600941,0.824682880955399
"Crr_Control_4to8Hz","160  410","E26",-38.2646318578571,0.488552533066186,0.737579256604314
"Crr_Control_4to8Hz","160  410","E27",-46.1789093469774,0.389962605760964,0.768959105675761
"Crr_Control_4to8Hz","160  410","E28",-53.1443516754078,0.312634284160053,0.993377621305156
"Crr_Control_4to8Hz","160  410","E29",-60.4680126360769,0.227743430935227,1.01129299306748
"Crr_Control_4to8Hz","160  410","E30",-75.4318344800771,0.147728378465659,0.982968890045011
"Crr_Control_4to8Hz","160  410","E31",-109.291772852777,0.0755362052223266,0.930183993969349
"Crr_Control_4to8Hz","160  410","E32",-46.3515894409914,0.599228196701221,0.954506954850267
"Crr_Control_4to8Hz","160  410","E33",-57.1790106114874,0.514906388993219,0.666542329785445
"Crr_Control_4to8Hz","160  410","E34",-66.4909622507194,0.399530300113236,0.559642413941802
"Crr_Control_4to8Hz","160  410","E35",-76.9225935088761,0.301354251938023,0.697191682472388
"Crr_Control_4to8Hz","160  410","E36",-87.0229471585147,0.225996621106973,0.750972098083073
"Crr_Control_4to8Hz","160  410","E37",-111.231819582071,0.157668933973343,0.740807087766766
"Crr_Control_4to8Hz","160  410","E38",-61.1312193439425,0.634138508679676,0.840043711302333
"Crr_Control_4to8Hz","160  410","E39",-83.2585491531442,0.538619055341259,0.544057346726712
"Crr_Control_4to8Hz","160  410","E40",-89.7507902366152,0.410156350954595,0.332970645716723
"Crr_Control_4to8Hz","160  410","E41",-96.6164756775109,0.313918875216249,0.489786540463309
"Crr_Control_4to8Hz","160  410","E42",-111.440281839919,0.260140640382636,0.560501662883648
"Crr_Control_4to8Hz","160  410","E43",-69.6547868585238,0.705974736353449,0.970495936626232
"Crr_Control_4to8Hz","160  410","E44",-79.4138878742049,0.650345193843936,0.779511599815826
"Crr_Control_4to8Hz","160  410","E45",-104.33175744558,0.52650285683909,0.49776323567047
"Crr_Control_4to8Hz","160  410","E46",-107.449713865737,0.403970919226589,0.421953772765336
