Condition,TimePnt,Channel,Theta,Radius,Amp
"Control_Crr_plus",185,"E73",-165.566315195067,0.686475665707557,-1.481252
"Control_Crr_plus",185,"E74",-172.416209207983,0.595297089988543,-1.677418
"Control_Crr_plus",185,"E75",180,0.482752768978654,-1.765666
"Control_Crr_plus",185,"E76",170.54613792653,0.383533110709227,-1.692704
"Control_Crr_plus",185,"E77",165.919476940636,0.307966338541944,-1.378806
"Control_Crr_plus",185,"E78",156.837713718969,0.22326320433181,-0.7256889
"Control_Crr_plus",185,"E79",146.37741567624,0.147540974980331,-0.1534379
"Control_Crr_plus",185,"E80",109.291772852777,0.0755362052223266,0.7637858
"Control_Crr_plus",185,"E81",180,0.678783360667831,-1.548064
"Control_Crr_plus",185,"E82",172.416209207983,0.595297089988543,-1.829323
"Control_Crr_plus",185,"E83",162.350241600306,0.491567150006312,-2.328729
"Control_Crr_plus",185,"E84",154.792727732359,0.387356382652391,-2.297807
"Control_Crr_plus",185,"E85",145.816189990478,0.298807746095754,-1.598981
"Control_Crr_plus",185,"E86",133.910686303638,0.221191066859946,-0.8647642
"Control_Crr_plus",185,"E87",111.231819582071,0.157668933973343,0.09773466
"Control_Crr_plus",185,"E88",165.566315195067,0.686475665707557,-1.699279
"Control_Crr_plus",185,"E89",155.102183075408,0.603236814605867,-2.270186
"Control_Crr_plus",185,"E90",147.460391385751,0.495203764381799,-2.867981
"Control_Crr_plus",185,"E91",141.04707747797,0.389863074652852,-2.370548
"Control_Crr_plus",185,"E92",127.625656592164,0.311430441422877,-1.241647
"Control_Crr_plus",185,"E93",111.440281839919,0.260140640382636,-0.4928571
"Control_Crr_plus",185,"E94",149.403750058276,0.695963417030754,-1.677159
"Control_Crr_plus",185,"E95",137.367908149995,0.610671140764661,-2.304896
"Control_Crr_plus",185,"E96",133.644631183022,0.49802123176152,-2.410853
"Control_Crr_plus",185,"E97",125.43763751286,0.39520725652609,-1.554579
"Control_Crr_plus",185,"E98",114.086346392077,0.336011092349328,-0.7263737
"Control_Crr_plus",185,"E99",128.892431075891,0.718473149021026,-1.262881
